dataset,model,model_key,method,trial,trial_key,graph_file,gcc,alcc,k4_count,k4_density,C3_global,C3_avg_local
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,0,0,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_0.txt,0.0334955799976605,0.0334975961982264,455.0,1.337095163473567e-09,0.0010950809006057,0.0003566805447674
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,1,1,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_1.txt,0.0333699421530499,0.03338064109427,448.0,1.3165244686508967e-09,0.0010814412135315,0.0003504854630322
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,2,2,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_2.txt,0.0330721111740911,0.0330617971095158,407.0,1.196038970403828e-09,0.0010023184257279,0.0003222803520793
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,3,3,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_3.txt,0.0327835554111147,0.0327702625317118,442.0,1.2988924445171791e-09,0.0011178473261656,0.0003591610348767
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,4,4,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_4.txt,0.0335250416059234,0.0334993145679659,484.0,1.422316613453201e-09,0.0011461351977764,0.0003679274948228
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,5,5,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_5.txt,0.0329545687949445,0.0329468894857895,430.0,1.2636283962497447e-09,0.0010699988698655,0.0003378353484977
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,6,6,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_6.txt,0.0331528358267922,0.0331422484635283,449.0,1.3194631393398495e-09,0.0011080138727943,0.0003568888085112
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,7,7,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_7.txt,0.0329222633139484,0.0329220981133187,461.0,1.3547271876072844e-09,0.0011551252628108,0.0003713924122737
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,8,8,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_8.txt,0.0330869523597769,0.0330789332030637,443.0,1.3018311152061323e-09,0.0011027174226448,0.0003610820505952
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,9,9,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_9.txt,0.0329501906898292,0.0329052385820305,453.0,1.3312178220956611e-09,0.0011383096478652,0.0003587540666738
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,10,10,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_10.txt,0.0329601801382723,0.0329258965116905,480.0,1.4105619306973892e-09,0.0011651571879983,0.0003745850634527
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,11,11,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_11.txt,0.0330109257258922,0.0329679208075341,498.0,1.4634580030985415e-09,0.001232886377637,0.0003926045322749
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,12,12,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_12.txt,0.0332313868999463,0.0332057814969066,433.0,1.272444408316603e-09,0.0010580170447441,0.000343479664339
bio-CE-PG,Erdős–Rényi,ER,EDGEIND,13,13,/data/stf95557/edge-probability-graph-model/cluster_analysis/results/data/orig_er/bio-CE-PG_13.txt,0.0329126539180783,0.0328468995861614,444.0,1.3047697858950851e-09,0.0010983356751301,0.0003475098227812
